,multi_output/samples/S1.bam_0_depth.txt_cov,multi_output/samples/S2.bam_1_depth.txt_cov,multi_output/samples/S3.bam_2_depth.txt_cov,multi_output/samples/S4.bam_3_depth.txt_cov,multi_output/samples/S5.bam_4_depth.txt_cov
k115_414_1,9.6133402922755e-05,9.6133402922755e-05,9.6133402922755e-05,9.6133402922755e-05,9.6133402922755e-05
k115_414_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_2481_1,0.000385282454847032,0.000385282454847032,0.000385282454847032,0.000385282454847032,0.000385282454847032
k115_2481_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9096_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9096_2,6.4428960645812e-05,6.4428960645812e-05,6.4428960645812e-05,6.4428960645812e-05,6.4428960645812e-05
k115_430_1,0.000532119704433497,0.000532119704433497,0.000532119704433497,0.000532119704433497,0.000532119704433497
k115_430_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_4148_1,6.5193572009764e-05,6.5193572009764e-05,6.5193572009764e-05,6.5193572009764e-05,6.5193572009764e-05
k115_4148_2,0.000264506779661016,0.000264506779661016,0.000264506779661016,0.000264506779661016,0.000264506779661016
k115_4580_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_4580_2,0.000280286791194129,0.000280286791194129,0.000280286791194129,0.000280286791194129,0.000280286791194129
k115_438_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_438_2,0.004654527645788337,0.004654527645788337,0.004654527645788337,0.004654527645788337,0.004654527645788337
k115_9524_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9524_2,0.00042867142857142796,0.00042867142857142796,0.00042867142857142796,0.00042867142857142796,0.00042867142857142796
k115_6632_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6632_2,9.1223860951738e-05,9.1223860951738e-05,9.1223860951738e-05,9.1223860951738e-05,9.1223860951738e-05
k115_6202_1,0.000288917224698852,0.000288917224698852,0.000288917224698852,0.000288917224698852,0.000288917224698852
k115_6202_2,0.000108228616143412,0.000108228616143412,0.000108228616143412,0.000108228616143412,0.000108228616143412
k115_1697_1,0.000132091051454138,0.000132091051454138,0.000132091051454138,0.000132091051454138,0.000132091051454138
