,multi_output/samples/S2.bam_1_depth.txt_cov
S1:k115_414_1,0.009613340292275573
S1:k115_414_2,1e-05
S1:k115_2481_1,0.03852824548470328
S1:k115_2481_2,1e-05
S1:k115_9096_1,1e-05
S1:k115_9096_2,0.006442896064581231
S1:k115_430_1,0.05321197044334976
S1:k115_430_2,1e-05
S1:k115_4148_1,0.006519357200976403
S1:k115_4148_2,0.026450677966101694
S1:k115_4580_1,1e-05
S1:k115_4580_2,0.028028679119412942
S1:k115_438_1,1e-05
S1:k115_438_2,0.4654527645788337
S1:k115_9524_1,1e-05
S1:k115_9524_2,0.04286714285714286
S1:k115_6632_1,1e-05
S1:k115_6632_2,0.00912238609517381
S1:k115_6202_1,0.028891722469885233
S1:k115_6202_2,0.010822861614341268
S1:k115_1697_1,0.01320910514541387
S1:k115_1697_2,1e-05
S1:k115_2513_1,0.011786996865799221
S1:k115_2513_2,1e-05
S1:k115_4987_1,0.020991606433126905
S1:k115_4987_2,0.010361201478743068
S1:k115_7493_1,1e-05
S1:k115_7493_2,0.018959468085106384
S1:k115_7046_1,0.008921020836063425
S1:k115_7046_2,1e-05
S1:k115_5461_1,1e-05
S1:k115_5461_2,0.019594055459272095
S1:k115_3361_1,0.04299642533936652
S1:k115_3361_2,1e-05
S1:k115_8345_1,1e-05
S1:k115_8345_2,0.35469895078922936
S1:k115_2127_1,0.16332535066208928
S1:k115_2127_2,1e-05
S1:k115_5821_1,0.022015208333333335
S1:k115_5821_2,0.005087904604834859
S1:k115_887_1,1e-05
S1:k115_887_2,0.01928007299270073
S1:k115_469_1,0.0365155387713998
S1:k115_469_2,0.02266861027190332
S1:k115_8349_1,0.01722377101681345
S1:k115_8349_2,1e-05
S1:k115_7912_1,1e-05
S1:k115_7912_2,0.022748756947953513
S1:k115_1325_1,1e-05
S1:k115_1325_2,0.046807758980555864
S1:k115_6240_1,1e-05
S1:k115_6240_2,0.05119392729012198
S1:k115_474_1,1e-05
S1:k115_474_2,0.024199867640346873
S1:k115_5828_1,1e-05
S1:k115_5828_2,0.010149960011425306
S1:k115_5014_1,0.09790796882380727
S1:k115_5014_2,1e-05
S1:k115_7058_1,1e-05
S1:k115_7058_2,0.011082802015647791
S1:k115_3754_1,0.012046762525941298
S1:k115_3754_2,0.0017295375037058999
S1:k115_1723_1,0.0043083021706425955
S1:k115_1723_2,1e-05
S1:k115_9590_1,1e-05
S1:k115_9590_2,0.02032033177746941
S1:k115_888_1,0.005391165919282511
S1:k115_888_2,0.0033411979500320307
S1:k115_2561_1,0.010945601458080195
S1:k115_2561_2,1e-05
S1:k115_7564_1,1e-05
S1:k115_7564_2,0.055392215288611546
S1:k115_6263_1,1e-05
S1:k115_6263_2,0.01952386511468675
S1:k115_5496_1,1e-05
S1:k115_5496_2,0.36675834781317296
S1:k115_7065_1,0.0328706797209093
S1:k115_7065_2,1e-05
S1:k115_3035_1,1e-05
S1:k115_3035_2,0.05033021957913998
S1:k115_8749_1,0.010090645161290322
S1:k115_8749_2,0.008904423196655697
S1:k115_505_1,1e-05
S1:k115_505_2,0.022919507445589918
S1:k115_6271_1,1e-05
S1:k115_6271_2,0.02208163601161665
S1:k115_4676_1,0.012378449603992621
S1:k115_4676_2,1e-05
S1:k115_7608_1,0.2652839456050453
S1:k115_7608_2,0.260159783208514
S1:k115_8440_1,0.04466811965811966
S1:k115_8440_2,0.7493689743589743
S1:k115_3786_1,0.010264200775527789
S1:k115_3786_2,0.015865234812580783
S1:k115_5073_1,0.025517900677200903
S1:k115_5073_2,0.02529216704288939
S1:k115_9656_1,0.6598869050410316
S1:k115_9656_2,1.4052847252747254
S1:k115_6692_1,0.002982547648190243
S1:k115_6692_2,0.01797642769714985
S1:k115_5508_1,0.002155922746781116
S1:k115_5508_2,0.005327908289406167
S1:k115_8807_1,0.02013333657903278
S1:k115_8807_2,1e-05
S1:k115_8475_1,0.07244589743589744
S1:k115_8475_2,1e-05
S1:k115_583_1,0.034937370654480174
S1:k115_583_2,0.08667557858658397
S1:k115_4743_1,0.009129095385737734
