,multi_sample_binning/S3.bam_cov
S1:k115_2895,0.04173821270310192
S1:k115_414,0.004811168980273457
S1:k115_2481,0.019269122742351638
S1:k115_9096,0.003226650898770104
S1:k115_430,0.026610985221674877
S1:k115_4974,0.02131225080385852
S1:k115_1275,0.011478738438771735
S1:k115_4148,0.01648569326734016
S1:k115_4580,0.01401933955970647
S1:k115_9518,0.6674322797927461
S1:k115_438,0.23273138228941687
S1:k115_9524,0.021443674684448678
S1:k115_6632,0.0045665775040081005
S1:k115_6202,0.01985729204211325
S1:k115_1697,0.006609552572706935
S1:k115_2513,0.0058984984328996105
S1:k115_4987,0.015676158325246083
S1:k115_7493,0.009484734042553192
S1:k115_7046,0.004465510418031712
S1:k115_5461,0.009802876332437819
S1:k115_3361,0.021499161168708765
S1:k115_8345,0.17735447539461469
S1:k115_2127,0.08166767533104463
S1:k115_5821,0.013551372800069442
S1:k115_887,0.009645036496350365
S1:k115_6233,0.4246031283905968
S1:k115_469,0.02959207452165156
S1:k115_8349,0.008616885508406724
S1:k115_7912,0.011382251705837756
S1:k115_1325,0.023410164789892888
S1:k115_6240,0.02560196364506099
S1:k115_474,0.012104933820173436
S1:k115_5828,0.005079980005712653
S1:k115_5014,0.04895898441190364
S1:k115_7058,0.0055464010078238955
S1:k115_3754,0.006888150014823599
S1:k115_1723,0.002159151085321298
S1:k115_9590,0.010165806471961143
S1:k115_888,0.00436618193465727
S1:k115_2561,0.005477247139819783
S1:k115_7564,0.027703807898586057
S1:k115_6263,0.009767767696653256
S1:k115_5496,0.18339098243790147
S1:k115_9606,0.03742721854304636
S1:k115_7065,0.01643849105434905
S1:k115_3035,0.025175865934568747
S1:k115_8749,0.009497525386542537
S1:k115_505,0.011465691023647818
S1:k115_6271,0.011045818005808325
S1:k115_4676,0.006193889340927583
S1:k115_3047,1.636094774121584
S1:k115_7608,0.2627218644067797
S1:k115_8440,0.397018547008547
S1:k115_3786,0.013064717794054286
S1:k115_9277,0.04993248062015504
S1:k115_5073,0.025405033860045147
S1:k115_930,0.1134120618556701
S1:k115_9656,1.0326131211077736
S1:k115_6692,0.010479487672670047
S1:k115_268,0.04526430516619944
S1:k115_4716,0.03598758773223238
S1:k115_5508,0.0037419525109042987
S1:k115_8807,0.01007003569690086
S1:k115_8475,0.036227948717948724
S1:k115_287,0.02508182031862105
S1:k115_583,0.060806474620532076
S1:k115_4743,0.004569547692868867
S1:k115_1366,0.008802595708876735
S1:k115_299,0.019077227643004208
S1:k115_6731,0.2267961588249938
S1:k115_7672,0.014820965311160192
S1:k115_3479,0.017490613605212264
S1:k115_1747,0.021945462330768075
S1:k115_3083,0.06119999323867478
S1:k115_6343,0.003909533284205355
S1:k115_2250,0.006330665829145728
S1:k115_4771,0.011330257996577596
S1:k115_3114,0.022930759659463
S1:k115_960,0.009275594151338037
