,multi_sample_binning/S1.bam_cov,multi_sample_binning/S2.bam_cov,multi_sample_binning/S3.bam_cov,multi_sample_binning/S4.bam_cov,multi_sample_binning/S5.bam_cov
k115_414,9.2992182444421e-05,9.2992182444421e-05,9.2992182444421e-05,9.2992182444421e-05,9.2992182444421e-05
k115_7861,0.000320114463930573,0.000320114463930573,0.000320114463930573,0.000320114463930573,0.000320114463930573
k115_2481,0.00029129056395134497,0.00029129056395134497,0.00029129056395134497,0.00029129056395134497,0.00029129056395134497
k115_9096,0.00016219397666351301,0.00016219397666351301,0.00016219397666351301,0.00016219397666351301,0.00016219397666351301
k115_8709,0.000151750312221231,0.000151750312221231,0.000151750312221231,0.000151750312221231,0.000151750312221231
k115_829,0.000154647607768829,0.000154647607768829,0.000154647607768829,0.000154647607768829,0.000154647607768829
k115_3739,8.3045285215366e-05,8.3045285215366e-05,8.3045285215366e-05,8.3045285215366e-05,8.3045285215366e-05
k115_430,9.5338095238095e-05,9.5338095238095e-05,9.5338095238095e-05,9.5338095238095e-05,9.5338095238095e-05
k115_9510,0.000118949040867389,0.000118949040867389,0.000118949040867389,0.000118949040867389,0.000118949040867389
k115_6620,5.2513793103448e-05,5.2513793103448e-05,5.2513793103448e-05,5.2513793103448e-05,5.2513793103448e-05
k115_4580,6.903484545252299e-05,6.903484545252299e-05,6.903484545252299e-05,6.903484545252299e-05,6.903484545252299e-05
k115_9518,0.003206058549222798,0.003206058549222798,0.003206058549222798,0.003206058549222798,0.003206058549222798
k115_6623,0.000566801865540302,0.000566801865540302,0.000566801865540302,0.000566801865540302,0.000566801865540302
k115_438,0.003106651475881929,0.003106651475881929,0.003106651475881929,0.003106651475881929,0.003106651475881929
k115_8308,3.3945719926667e-05,3.3945719926667e-05,3.3945719926667e-05,3.3945719926667e-05,3.3945719926667e-05
k115_2939,0.000245528766989341,0.000245528766989341,0.000245528766989341,0.000245528766989341,0.000245528766989341
k115_4157,0.00018183045995496898,0.00018183045995496898,0.00018183045995496898,0.00018183045995496898,0.00018183045995496898
k115_6632,9.545060332461301e-05,9.545060332461301e-05,9.545060332461301e-05,9.545060332461301e-05,9.545060332461301e-05
k115_6202,4.0173982737361e-05,4.0173982737361e-05,4.0173982737361e-05,4.0173982737361e-05,4.0173982737361e-05
k115_1697,0.00011419395973154301,0.00011419395973154301,0.00011419395973154301,0.00011419395973154301,0.00011419395973154301
k115_2513,8.082941399943e-05,8.082941399943e-05,8.082941399943e-05,8.082941399943e-05,8.082941399943e-05
