,multi_sample_binning/S1.bam_cov,multi_sample_binning/S2.bam_cov,multi_sample_binning/S3.bam_cov,multi_sample_binning/S4.bam_cov,multi_sample_binning/S5.bam_cov
k115_414_1,0.000123273277661795,0.000123273277661795,0.000123273277661795,0.000123273277661795,0.000123273277661795
k115_414_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_2481_1,0.00035210884629561297,0.00035210884629561297,0.00035210884629561297,0.00035210884629561297,0.00035210884629561297
k115_2481_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1663_1,0.00015682616456247199,0.00015682616456247199,0.00015682616456247199,0.00015682616456247199,0.00015682616456247199
k115_1663_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_2916_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_2916_2,0.0004976781594011441,0.0004976781594011441,0.0004976781594011441,0.0004976781594011441,0.0004976781594011441
k115_9096_1,5.9391030654724006e-05,5.9391030654724006e-05,5.9391030654724006e-05,5.9391030654724006e-05,5.9391030654724006e-05
k115_9096_2,0.000143894147325933,0.000143894147325933,0.000143894147325933,0.000143894147325933,0.000143894147325933
k115_829_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_829_2,0.000133922832780672,0.000133922832780672,0.000133922832780672,0.000133922832780672,0.000133922832780672
k115_3739_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_3739_2,0.00014416286379511,0.00014416286379511,0.00014416286379511,0.00014416286379511,0.00014416286379511
k115_430_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_430_2,0.000164303612479474,0.000164303612479474,0.000164303612479474,0.000164303612479474,0.000164303612479474
k115_4148_1,0.00016283393002441,0.00016283393002441,0.00016283393002441,0.00016283393002441,0.00016283393002441
k115_4148_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_438_1,0.00040326774658027304,0.00040326774658027304,0.00040326774658027304,0.00040326774658027304,0.00040326774658027304
k115_438_2,0.00701233902087833,0.00701233902087833,0.00701233902087833,0.00701233902087833,0.00701233902087833
k115_8308_1,0.00014817502467917,0.00014817502467917,0.00014817502467917,0.00014817502467917,0.00014817502467917
k115_8308_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_2939_1,0.000289558243692548,0.000289558243692548,0.000289558243692548,0.000289558243692548,0.000289558243692548
k115_2939_2,9.0049159170903e-05,9.0049159170903e-05,9.0049159170903e-05,9.0049159170903e-05,9.0049159170903e-05
k115_4157_1,0.000363560919909938,0.000363560919909938,0.000363560919909938,0.000363560919909938,0.000363560919909938
k115_4157_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1298_1,0.000483970967741935,0.000483970967741935,0.000483970967741935,0.000483970967741935,0.000483970967741935
k115_1298_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6632_1,0.000190817299578059,0.000190817299578059,0.000190817299578059,0.000190817299578059,0.000190817299578059
k115_6632_2,8.616142423219701e-05,8.616142423219701e-05,8.616142423219701e-05,8.616142423219701e-05,8.616142423219701e-05
k115_6202_1,4.6102086692592e-05,4.6102086692592e-05,4.6102086692592e-05,4.6102086692592e-05,4.6102086692592e-05
k115_6202_2,5.3690059755287e-05,5.3690059755287e-05,5.3690059755287e-05,5.3690059755287e-05,5.3690059755287e-05
k115_1697_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1697_2,0.000252896420581655,0.000252896420581655,0.000252896420581655,0.000252896420581655,0.000252896420581655
k115_459_1,0.00030471538461538403,0.00030471538461538403,0.00030471538461538403,0.00030471538461538403,0.00030471538461538403
k115_459_2,0.000187792307692307,0.000187792307692307,0.000187792307692307,0.000187792307692307,0.000187792307692307
k115_2513_1,0.00015111149206952198,0.00015111149206952198,0.00015111149206952198,0.00015111149206952198,0.00015111149206952198
k115_2513_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_4987_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_4987_2,7.3112939001848e-05,7.3112939001848e-05,7.3112939001848e-05,7.3112939001848e-05,7.3112939001848e-05
k115_8345_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_8345_2,0.004308363695450325,0.004308363695450325,0.004308363695450325,0.004308363695450325,0.004308363695450325
k115_2127_1,0.000564101961745953,0.000564101961745953,0.000564101961745953,0.000564101961745953,0.000564101961745953
k115_2127_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_4607_1,0.00011311430337277001,0.00011311430337277001,0.00011311430337277001,0.00011311430337277001,0.00011311430337277001
k115_4607_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_5821_1,0.000193242361111111,0.000193242361111111,0.000193242361111111,0.000193242361111111,0.000193242361111111
k115_5821_2,0.000217104470292088,0.000217104470292088,0.000217104470292088,0.000217104470292088,0.000217104470292088
k115_8349_1,0.000584567574059247,0.000584567574059247,0.000584567574059247,0.000584567574059247,0.000584567574059247
k115_8349_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7912_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7912_2,0.00036897316826680097,0.00036897316826680097,0.00036897316826680097,0.00036897316826680097,0.00036897316826680097
k115_1325_1,0.00010776864425400999,0.00010776864425400999,0.00010776864425400999,0.00010776864425400999,0.00010776864425400999
k115_1325_2,0.000160486685708008,0.000160486685708008,0.000160486685708008,0.000160486685708008,0.000160486685708008
k115_5014_1,0.001059382002834199,0.001059382002834199,0.001059382002834199,0.001059382002834199,0.001059382002834199
k115_5014_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7058_1,6.8393329797109e-05,6.8393329797109e-05,6.8393329797109e-05,6.8393329797109e-05,6.8393329797109e-05
k115_7058_2,4.3860774433099e-05,4.3860774433099e-05,4.3860774433099e-05,4.3860774433099e-05,4.3860774433099e-05
k115_3754_1,3.3601334123925e-05,3.3601334123925e-05,3.3601334123925e-05,3.3601334123925e-05,3.3601334123925e-05
k115_3754_2,3.0933086273347004e-05,3.0933086273347004e-05,3.0933086273347004e-05,3.0933086273347004e-05,3.0933086273347004e-05
k115_9590_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9590_2,0.00011615903872839599,0.00011615903872839599,0.00011615903872839599,0.00011615903872839599,0.00011615903872839599
k115_888_1,8.8504868673926e-05,8.8504868673926e-05,8.8504868673926e-05,8.8504868673926e-05,8.8504868673926e-05
k115_888_2,5.134919923126201e-05,5.134919923126201e-05,5.134919923126201e-05,5.134919923126201e-05,5.134919923126201e-05
k115_2561_1,0.000230962697448359,0.000230962697448359,0.000230962697448359,0.000230962697448359,0.000230962697448359
k115_2561_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7564_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7564_2,0.0006416756630265209,0.0006416756630265209,0.0006416756630265209,0.0006416756630265209,0.0006416756630265209
k115_6263_1,0.00019356002396849801,0.00019356002396849801,0.00019356002396849801,0.00019356002396849801,0.00019356002396849801
k115_6263_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_5496_1,0.000265212134264072,0.000265212134264072,0.000265212134264072,0.000265212134264072,0.000265212134264072
k115_5496_2,0.003824262768248311,0.003824262768248311,0.003824262768248311,0.003824262768248311,0.003824262768248311
k115_7065_1,0.001483332050416385,0.001483332050416385,0.001483332050416385,0.001483332050416385,0.001483332050416385
k115_7065_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_8749_1,8.3413567362428e-05,8.3413567362428e-05,8.3413567362428e-05,8.3413567362428e-05,8.3413567362428e-05
k115_8749_2,0.000196370271872869,0.000196370271872869,0.000196370271872869,0.000196370271872869,0.000196370271872869
k115_505_1,9.011636661211099e-05,9.011636661211099e-05,9.011636661211099e-05,9.011636661211099e-05,9.011636661211099e-05
k115_505_2,0.000121193110783832,0.000121193110783832,0.000121193110783832,0.000121193110783832,0.000121193110783832
k115_6271_1,0.000129819264278799,0.000129819264278799,0.000129819264278799,0.000129819264278799,0.000129819264278799
k115_6271_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_223_1,0.000488458886996025,0.000488458886996025,0.000488458886996025,0.000488458886996025,0.000488458886996025
k115_223_2,0.000289625972182798,0.000289625972182798,0.000289625972182798,0.000289625972182798,0.000289625972182798
k115_4676_1,0.00017586217858305299,0.00017586217858305299,0.00017586217858305299,0.00017586217858305299,0.00017586217858305299
k115_4676_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7091_1,0.000126540011239112,0.000126540011239112,0.000126540011239112,0.000126540011239112,0.000126540011239112
k115_7091_2,0.00026140935656083104,0.00026140935656083104,0.00026140935656083104,0.00026140935656083104,0.00026140935656083104
k115_7608_1,0.003058830784391013,0.003058830784391013,0.003058830784391013,0.003058830784391013,0.003058830784391013
k115_7608_2,0.00420979649191959,0.00420979649191959,0.00420979649191959,0.00420979649191959,0.00420979649191959
k115_8440_1,0.000149672649572649,0.000149672649572649,0.000149672649572649,0.000149672649572649,0.000149672649572649
k115_8440_2,0.006636852136752136,0.006636852136752136,0.006636852136752136,0.006636852136752136,0.006636852136752136
k115_3786_1,6.0418828091339e-05,6.0418828091339e-05,6.0418828091339e-05,6.0418828091339e-05,6.0418828091339e-05
k115_3786_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_919_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_919_2,9.092217973231301e-05,9.092217973231301e-05,9.092217973231301e-05,9.092217973231301e-05,9.092217973231301e-05
k115_5073_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_5073_2,0.00018971625282167,0.00018971625282167,0.00018971625282167,0.00018971625282167,0.00018971625282167
k115_9656_1,0.0071703813599062124,0.0071703813599062124,0.0071703813599062124,0.0071703813599062124,0.0071703813599062124
k115_9656_2,0.015481418681318682,0.015481418681318682,0.015481418681318682,0.015481418681318682,0.015481418681318682
k115_6692_1,7.135371568456e-05,7.135371568456e-05,7.135371568456e-05,7.135371568456e-05,7.135371568456e-05
k115_6692_2,0.000212112589613568,0.000212112589613568,0.000212112589613568,0.000212112589613568,0.000212112589613568
k115_5508_1,9.0135454375816e-05,9.0135454375816e-05,9.0135454375816e-05,9.0135454375816e-05,9.0135454375816e-05
k115_5508_2,7.2404893408592e-05,7.2404893408592e-05,7.2404893408592e-05,7.2404893408592e-05,7.2404893408592e-05
k115_3069_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_3069_2,0.000586207091172214,0.000586207091172214,0.000586207091172214,0.000586207091172214,0.000586207091172214
k115_8807_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_8807_2,0.000159087670343932,0.000159087670343932,0.000159087670343932,0.000159087670343932,0.000159087670343932
k115_8475_1,0.000102664102564102,0.000102664102564102,0.000102664102564102,0.000102664102564102,0.000102664102564102
k115_8475_2,0.000365484615384615,0.000365484615384615,0.000365484615384615,0.000365484615384615,0.000365484615384615
k115_583_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_583_2,0.00037222338828137697,0.00037222338828137697,0.00037222338828137697,0.00037222338828137697,0.00037222338828137697
k115_4743_1,0.00010770532555170499,0.00010770532555170499,0.00010770532555170499,0.00010770532555170499,0.00010770532555170499
k115_4743_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1366_1,6.4046150610012e-05,6.4046150610012e-05,6.4046150610012e-05,6.4046150610012e-05,6.4046150610012e-05
k115_1366_2,5.0163104753891e-05,5.0163104753891e-05,5.0163104753891e-05,5.0163104753891e-05,5.0163104753891e-05
k115_588_1,0.000212795247590561,0.000212795247590561,0.000212795247590561,0.000212795247590561,0.000212795247590561
k115_588_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6731_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6731_2,0.004888103982080637,0.004888103982080637,0.004888103982080637,0.004888103982080637,0.004888103982080637
k115_7672_1,0.000293759043659043,0.000293759043659043,0.000293759043659043,0.000293759043659043,0.000293759043659043
k115_7672_2,0.000244319277734476,0.000244319277734476,0.000244319277734476,0.000244319277734476,0.000244319277734476
k115_3479_1,0.000125902696308535,0.000125902696308535,0.000125902696308535,0.000125902696308535,0.000125902696308535
k115_3479_2,0.000207385016898235,0.000207385016898235,0.000207385016898235,0.000207385016898235,0.000207385016898235
k115_7165_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7165_2,0.000232180509344834,0.000232180509344834,0.000232180509344834,0.000232180509344834,0.000232180509344834
k115_3846_1,0.000149955907780979,0.000149955907780979,0.000149955907780979,0.000149955907780979,0.000149955907780979
k115_3846_2,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1747_1,0.000214116226503288,0.000214116226503288,0.000214116226503288,0.000214116226503288,0.000214116226503288
k115_1747_2,0.000131643803418803,0.000131643803418803,0.000131643803418803,0.000131643803418803,0.000131643803418803
k115_7953_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_7953_2,6.6354912970241e-05,6.6354912970241e-05,6.6354912970241e-05,6.6354912970241e-05,6.6354912970241e-05
k115_6343_1,9.9584156226971e-05,9.9584156226971e-05,9.9584156226971e-05,9.9584156226971e-05,9.9584156226971e-05
k115_6343_2,7.0107369196757e-05,7.0107369196757e-05,7.0107369196757e-05,7.0107369196757e-05,7.0107369196757e-05
k115_8501_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_8501_2,0.000280749926144756,0.000280749926144756,0.000280749926144756,0.000280749926144756,0.000280749926144756
k115_4771_1,7.2496998815321e-05,7.2496998815321e-05,7.2496998815321e-05,7.2496998815321e-05,7.2496998815321e-05
k115_4771_2,0.00014621030670001299,0.00014621030670001299,0.00014621030670001299,0.00014621030670001299,0.00014621030670001299
k115_960_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_960_2,8.8844673364869e-05,8.8844673364869e-05,8.8844673364869e-05,8.8844673364869e-05,8.8844673364869e-05
k115_2268_1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_2268_2,0.000257109345794392,0.000257109345794392,0.000257109345794392,0.000257109345794392,0.000257109345794392
