,single_output/single.bam_0_depth.txt_mean,single_output/single.bam_0_depth.txt_var
k115_8675,0.05731897009966778,0.05403465204578317
k115_2895,0.05872491875923191,0.055277477074328694
k115_414,0.0541797108861288,0.051245353308642015
k115_1250,0.00799684519614752,0.007933055499960295
k115_7861,0.0468369752305189,0.04464420962127927
k115_2481,0.09455478437154441,0.11989546362281564
k115_4957,0.00430759053121037,0.004289121246836421
k115_1663,0.013941214627775358,0.013747135886770219
k115_2916,0.04977877339792997,0.04730184259239548
k115_9096,0.0446646830652791,0.043553644553124084
k115_8709,0.015175031222123103,0.014945053050155137
k115_829,0.05075609189957366,0.04818092605649369
k115_3739,0.019873213038416764,0.019478665806207236
k115_430,0.06076533661740559,0.05707412568991132
k115_4974,0.06713218649517684,0.07468467638878837
k115_9510,0.05234527939949959,0.049606297929675906
k115_437,0.013499736070381232,0.01331776309113269
k115_1275,0.011478738438771735,0.011347206477394777
k115_6620,0.0052513793103448276,0.005223907253269916
k115_4148,0.03621584446403146,0.034904981290677824
k115_4580,0.056936840115632645,0.053696174990081835
k115_9518,2.5123156994818654,15.49726789618513
k115_6623,0.1784682893347413,0.6035023080983056
k115_438,1.4076773866090713,43.25984321982191
k115_5431,0.025564808338937456,0.024911760109697634
k115_4583,0.01970914040114613,0.019321084268602066
k115_5432,0.03502346671796845,0.03379752386635816
k115_9524,0.06312026434865443,0.059137358882497396
k115_8308,0.024477635030320122,0.025430232029648777
k115_2939,0.0606338388579251,0.05695858902005344
k115_4157,0.08283405918301705,0.1033142151046552
k115_9525,0.020250014329213684,0.01984035614916691
k115_1298,0.03905095056227456,0.0375267547414686
k115_6632,0.03637823896717577,0.04011845405494449
k115_6202,0.04852560276961017,0.053712387288565346
k115_1697,0.040949597315436244,0.039273546687086165
k115_459,0.042163846153846156,0.04038689940828402
k115_2513,0.03415379333270017,0.03773678376834404
k115_4987,0.02459523961366052,0.023990805606799413
k115_7493,0.009484734042553192,0.009394963457376077
k115_871,0.045412166397787515,0.04335080968417514
k115_7046,0.004465510418031712,0.004445658844946524
k115_2123,0.005877788216938574,0.005843357278379731
k115_5000,0.024205765740995325,0.0236203306612022
k115_5461,0.01526262154432793,0.015029979080353433
k115_3361,0.021499161168708765,0.02103737712097403
k115_8345,0.9059214825131537,2.930495017234293
k115_2974,0.009967557949722494,0.009868404989400411
k115_2127,0.1569496763119176,0.6825893543796893
k115_141,0.060790717841236575,0.08172309233975196
k115_4607,0.008264977265704321,0.008196832616047024
k115_5821,0.065329763025976,0.21839474671321832
k115_887,0.009645036496350365,0.009552202568064362
k115_6233,1.4719810669077757,2.435119496450399
k115_469,0.05766357502517624,0.06717951946607116
k115_8349,0.0771717293835068,0.16989674005657687
k115_7912,0.02983057113975234,0.028941304676651312
k115_1325,0.09531348805273276,0.1722510573045047
k115_6240,0.045334085147094,0.04327981245267298
k115_474,0.06390776357827475,0.05982483938796967
k115_9191,0.04159302265557786,0.03986387488240356
k115_5828,0.008936021136818052,0.00885634728348313
k115_5014,0.2568002692489372,0.5883554841188221
k115_4187,0.0019221161978304835,0.0019184600094764774
k115_7058,0.02547081421562127,0.03324319502328614
k115_3754,0.0448513874888823,0.05081573381034881
k115_1723,0.032605458127373026,0.03154299423683969
k115_9590,0.021078567463571563,0.020634682928604497
k115_9212,0.05110489051094891,0.09010004209068143
k115_888,0.02191903267136451,0.021439026958769595
k115_4654,0.011245955056179775,0.01111970837015528
k115_2561,0.04627911005366002,0.04413827950850231
k115_7564,0.10395929302779132,0.17896563662919304
k115_3438,0.0091424200913242,0.009059018994599781
k115_6263,0.056673528203372424,0.05346277277491804
k115_5496,1.0902338889095162,35.85768482084989
k115_9606,0.09868549668874171,0.08894864304197182
k115_7065,0.2436242680319568,0.6282957105559597
k115_3035,0.05125685426675818,0.04863061419451983
k115_8749,0.054592919489452545,0.09095720622677908
k115_5035,0.015767042253521126,0.015518757872941876
k115_505,0.036422732182309146,0.03509684511732858
k115_6271,0.026244269119070667,0.025556032242858833
k115_223,0.09482902058197303,0.08583837391784839
k115_3043,1e-05,1e-05
k115_7927,0.002342309210378776,0.002336869544125959
k115_4676,0.03733031461893138,0.058286301792361
k115_7091,0.029934135993256533,0.029038682078313623
k115_3047,7.201627401003904,16.30263984357897
k115_7608,1.3998917500985417,1.8075858630370634
k115_9274,0.0131952879944483,0.013021436174951754
k115_8440,1.6865484615384616,31.146623658777127
k115_3786,0.019010430848772082,0.01864941447633311
k115_919,0.03482794279340292,0.03361565365303825
k115_251,0.04708200896609695,0.04486623493799264
k115_9277,0.2626456589147287,0.22405576648037975
k115_4700,0.012332528797214037,0.012180684081255867
k115_5073,0.08838471783295711,0.08621796793869013
k115_930,1.177329587628866,22.860938897863747
k115_264,0.016970886119764623,0.016683214461796998
k115_4257,0.008049492242595204,0.007984858807076457
k115_3061,0.037921539740605255,0.03648425489510176
k115_9656,5.183320132610447,18.051541837366006
k115_6692,0.07587553593285538,0.09988914680838125
k115_268,0.41971364437324793,2.7665901284328536
k115_4716,0.12150808316130934,0.31376487753982324
k115_948,0.06694069306930693,0.06246097539456915
k115_9284,0.00959215519949733,0.009500337501230076
k115_5508,0.03212811629697013,0.031096542902504416
k115_3069,0.029315354558610708,0.028456550752804823
k115_8807,0.09136161447347071,0.08301649700656107
k115_2232,0.002209967164669184,0.002205127309143562
k115_7134,0.04180041154009334,0.040053973043402975
k115_8475,0.12597153846153847,0.11010522928994083
k115_287,0.08750020632018804,0.1090961271566302
k115_7661,0.007947632884479092,0.007884626868670332
k115_3829,0.01484216237314598,0.01462216933248261
k115_583,0.18705096621511344,0.5251693035282323
k115_4743,0.0620198486230166,0.05817462729676715
k115_1366,0.04592922591501893,0.08929814324416308
k115_9298,0.02020218283339826,0.019794458585820875
k115_6719,0.07414668196087901,0.09231621556097806
k115_5545,0.02429522218394764,0.023705450167423932
k115_8494,0.024211596806387226,0.023625879518408298
k115_588,0.02061485211033566,0.02019029217984685
k115_299,0.028028977710142334,0.04228285471101294
k115_6731,1.5972218496390342,13.055098068886226
k115_7672,0.04989956736390802,0.050788537889081366
k115_3479,0.08544157025103738,0.21306856954426068
k115_7165,0.031022528239884987,0.08161137774404957
k115_3846,0.007501715891081976,0.007445590084089285
k115_9691,0.012414358914908417,0.012260490794818547
k115_1747,0.07755202627581256,0.19246809538668933
k115_7953,0.008657313156269301,0.008582537131446716
k115_3083,0.12238998647734955,0.17029344993076387
k115_6343,0.038636873004175884,0.0389257269025039
k115_8501,0.014044223808937583,0.01384726437101823
k115_9303,0.007837081702691312,0.007775818494710705
k115_2250,0.013436507537688441,0.031707869598858
k115_4771,0.07023508885086217,0.08070434185837369
k115_6356,0.015717298720842737,0.01547057948773695
k115_3114,0.183376077275704,0.17267371863968758
k115_960,0.038303879625466705,0.06717543757088397
k115_2268,0.012863470437017995,0.012698258734742696
k115_7966,0.006939964430271065,0.006891940023266243
k115_8505,0.00504604226325664,0.005020680541579334
k115_5992,0.01483297137048958,0.014613250890239229
k115_1777,0.026965113373438224,0.026238535236463315
k115_5172,0.019631513944223106,0.019246510134759764
k115_363,3.4256416749153424,14.966021420471044
k115_5587,0.02548953048955053,0.02484032401558259
k115_8515,0.06943781900885802,0.0646175969565313
k115_9349,0.10031395136778115,0.09025306870779097
k115_3485,0.015186535346386726,0.014956208121266593
k115_6359,0.02279091892188615,0.03094516597943773
k115_8516,0.06120162640901772,0.05745721126643693
k115_3120,0.01582330546847788,0.01557324483863849
k115_2566,0.03462904242216367,0.036018612530231614
k115_6753,0.04881248521895982,0.09192634329074721
k115_7245,0.0745037319189971,0.06895441582377769
k115_8021,0.033024769765421375,0.0319347947427576
k115_8534,0.040343422963162144,0.038716637955236805
k115_9358,0.041934824452705494,0.05360133842133432
k115_4807,0.02472983204707413,0.024118761950638577
k115_9693,0.07331482590103848,0.19686769851607985
k115_1399,0.024051167484119965,0.05169542984017432
k115_6049,0.041707147037307976,0.03996849496625709
k115_4372,0.017184238642036945,0.016889284169103312
k115_3924,0.08838719298245613,0.39110298053247167
k115_8040,0.053533639607493314,0.13749609719614958
k115_1807,0.01564767795234934,0.015403140980607945
k115_2359,0.010744463276836157,0.010629234574994414
k115_1407,0.1788717886178862,0.22192715350549383
k115_6754,0.0016340796881767,0.0016314420533431516
k115_1070,0.030573002680965147,0.02963890554808847
k115_5195,0.00805448763632437,0.007989773854993398
k115_2360,0.03693581470359249,0.0660472182758767
k115_4399,2.387747097485664,12.270049299210456
k115_3571,0.009230598469032706,0.009145579032905578
k115_682,0.039007294652621885,0.03748650566239848
k115_1812,0.027235966654842143,0.026494713394551568
k115_3150,0.027200605239385726,0.026461276226101612
k115_7287,0.005765035656199174,0.00573191522079505
k115_6065,0.0554397910872518,0.058188427594478065
k115_5651,0.022073092703696534,0.021586312644044627
k115_8929,0.04804636961165581,0.06403322965714946
k115_2569,0.05276535000391942,0.07151288595390991
k115_1076,0.010910745840504877,0.010791919580625595
k115_5203,0.02395575121847849,0.023382352217061222
k115_4402,0.02122329711550899,0.020773293140998128
k115_8065,0.06485799445150849,0.08515856954256197
k115_6395,0.004785669222068618,0.004762862205550006
k115_3959,0.0053261037049153505,0.005297842746313938
k115_1821,0.05689396677573622,0.05365818109959315
k115_2576,0.05075230002215821,0.04817751901061951
k115_3976,0.03278792952745152,0.03171353686334494
k115_724,0.04000436699056471,0.042347924204292293
k115_9751,0.02199507582444034,0.021511732265433955
k115_6076,0.0029790922365539063,0.00297027672784474
k115_7339,0.031028849916487713,0.030066680866346115
k115_7686,0.043122271909081286,0.047422499906930336
k115_1105,0.20779576741879496,1.3156250575013761
k115_6420,0.03197017024010279,0.04138796934428966
k115_9758,0.01832145681413061,0.017986147363474845
k115_6776,0.013585735971244392,0.013401435364083458
k115_7690,0.13698978596908443,0.15152002218354518
k115_3171,0.02117991643454039,0.020731751072694975
k115_7357,0.10752818916734033,0.09596802816551635
k115_6078,0.033312765577489266,0.03490652453069803
k115_769,0.1461408535370309,0.4881210675668237
k115_2371,0.04772947235661416,0.07063530409380422
k115_6777,0.006885339243712683,0.006838068953996548
k115_5675,0.0293656896236517,0.04626360298944907
k115_1502,0.00839466803559206,0.008324365377524984
k115_6440,0.0032681613748163293,0.0032575457592719835
k115_4035,0.10159057054741712,0.16355414790314404
k115_3177,0.017574018384766906,0.017265523642946486
k115_8094,0.050254782272610155,0.04773024412698814
k115_1113,0.1813476235348196,0.9573971022058594
k115_6113,0.016558258534049557,0.038464278514988445
k115_5690,0.01800370220422852,0.017679928885214066
k115_6786,0.04829840747478088,0.04596663717833042
k115_2631,0.0273209243697479,0.026575037779817807
k115_788,0.0037444088430801403,0.0037304630336728647
k115_4909,0.007359182004089979,0.007305171527960739
k115_1881,0.010726637729749147,0.010611791405518465
k115_9359,0.05049358966228001,0.0636101308152101
k115_1887,0.025621175785797437,0.024965243460666423
k115_4916,0.09713092130518233,0.08769844795001491
k115_797,0.011043919084593378,0.010922171714228025
k115_5215,0.05628885503231764,0.11150874156889527
k115_8106,0.03745475693049418,0.041998810226628346
k115_8535,0.05921854283574687,0.08697048929924213
k115_5702,0.08635691029057226,0.20921453337739698
k115_4418,0.057685771173058585,0.1893477852150934
k115_6443,0.010247827188291585,0.01014301408275426
k115_2389,0.034943426769446395,0.03372308246359012
k115_9775,0.9292820441766055,2.717138724474025
k115_2637,0.035228637666651505,0.04791193267716304
k115_1132,0.11638022882061835,0.244442392892892
k115_7738,0.07346612134344528,0.15790161504572064
k115_1541,0.016812610114192494,0.01653028240754293
k115_7382,0.18608772558111158,0.7439220820558604
k115_800,0.00505734679292478,0.005031871083276736
k115_1923,0.018826471229888193,0.01847241164034298
k115_8140,0.03235398782343988,0.03891820435122055
k115_6815,0.0019022618568322732,0.0018986812018974516
k115_3648,0.04586588560435301,0.06458060430103077
k115_2432,0.04832651335179066,0.045992027889316896
k115_6161,0.058281618687009304,0.11931055966613091
k115_8144,0.3195648489666137,1.0716307875321316
k115_9805,0.007031686447523768,0.006982382366956432
k115_8943,0.24772709205230017,0.8898896888828346
k115_4442,0.026150072461598346,0.02546676907330074
k115_5716,0.03514938963083329,0.0413284147857342
k115_5272,0.052247408724957874,0.04951866185465958
k115_4083,0.04905584930003274,0.10491998097153564
k115_6176,0.018704362017804153,0.018354882846551436
k115_2657,0.011862438936522803,0.011721958627778802
k115_1191,0.08194300384404173,0.1116934683286485
k115_6474,0.025915073076810874,0.025244000265695957
k115_2437,0.13676112479280134,0.2053204961951592
k115_9807,0.010018831321754488,0.009918654617327155
k115_7434,0.11380560280260932,0.2008803240106236
k115_1999,0.123225462332528,0.12561424459289522
k115_8149,0.028776708482934635,0.027949184965992493
k115_6178,0.14086477941176473,0.2507734850384318
k115_4464,0.014616565101303595,0.014403213357244973
k115_3216,0.04115471007510057,0.08161603144584621
k115_8949,0.031992512191020686,0.030969631104971897
k115_5726,0.005067657293141816,0.005042077395846945
k115_9380,0.04552296794880468,0.04964801193051589
k115_6844,0.012397323544418618,0.012243877759824509
k115_5748,0.0317700352889281,0.03076133544737414
k115_8633,0.045530581113801455,0.09793787669506183
k115_3220,0.04135223210975158,0.039643051953935
k115_2441,0.042201719171917194,0.04042157800523526
k115_5340,0.19746137491616367,0.6110564890842936
k115_7765,0.016827180968184575,0.016544363392467905
k115_6496,0.014944188322645966,0.014721158341789713
k115_6872,0.020473600144875044,0.02005484121398572
k115_9397,0.019726885743174924,0.019338130159765512
