filename	nbps	nr_contigs	N50	L50
single_output/output_bins/SemiBin_0.fa.gz	303001	89	3278	36
single_output/output_bins/SemiBin_1.fa.gz	4428456	179	39536	34
single_output/output_bins/SemiBin_4.fa.gz	2487241	241	15875	51
single_output/output_bins/SemiBin_5.fa.gz	249747	39	6445	9
